model_name	total_datasets	average_accuracy	total_time_s	average_time_s	average_train_ratio
step-31050	149	0.829026	867.491	5.822	0.799911
step-31100	149	0.828247	851.805	5.717	0.799911
step-31150	149	0.828809	865.864	5.811	0.799911
step-31200	149	0.827873	873.497	5.862	0.799911
step-31250	149	0.828496	871.001	5.846	0.799911
step-31300	149	0.829130	876.242	5.881	0.799911
step-31350	149	0.828260	874.212	5.867	0.799911
step-31400	149	0.827988	860.228	5.773	0.799911
step-31450	149	0.827902	866.506	5.815	0.799911
step-31500	149	0.828868	878.550	5.896	0.799911
step-31550	149	0.828730	864.447	5.802	0.799911
step-31600	149	0.829326	879.562	5.903	0.799911
step-31650	149	0.828599	874.143	5.867	0.799911
step-31700	149	0.827495	858.961	5.765	0.799911
step-31750	149	0.829015	875.332	5.875	0.799911
step-31800	149	0.829106	863.888	5.798	0.799911
step-31850	149	0.829474	876.318	5.881	0.799911
step-31900	149	0.829379	872.641	5.857	0.799911
step-31950	149	0.829205	875.758	5.878	0.799911
step-32000	149	0.828269	860.612	5.776	0.799911
step-32050	149	0.827454	852.306	5.720	0.799911
step-32100	149	0.827384	867.347	5.821	0.799911
step-32150	149	0.828662	871.992	5.852	0.799911
step-32200	149	0.829207	873.862	5.865	0.799911
step-32250	149	0.829656	881.548	5.916	0.799911
step-32300	149	0.827530	878.079	5.893	0.799911
step-32350	149	0.829180	878.430	5.896	0.799911
step-32400	149	0.829506	877.840	5.892	0.799911
step-32450	149	0.828437	874.594	5.870	0.799911
step-32500	149	0.827988	872.612	5.856	0.799911
step-32550	149	0.828924	873.870	5.865	0.799911
step-32600	149	0.829004	872.478	5.856	0.799911
step-32650	149	0.828845	868.367	5.828	0.799911
step-32700	149	0.828505	876.445	5.882	0.799911
step-32750	149	0.828700	869.809	5.838	0.799911
step-32800	149	0.829406	874.939	5.872	0.799911
step-32850	149	0.828799	874.915	5.872	0.799911
step-32900	149	0.828465	878.796	5.898	0.799911
step-32950	149	0.828732	868.188	5.827	0.799911
step-33000	149	0.829266	863.141	5.793	0.799911
step-33050	149	0.829220	870.715	5.844	0.799911
step-33100	149	0.830086	877.929	5.892	0.799911
step-33150	149	0.829791	887.263	5.955	0.799911
step-33200	149	0.828535	877.575	5.890	0.799911
step-33250	149	0.828233	876.175	5.880	0.799911
step-33300	149	0.828818	878.705	5.897	0.799911
step-33350	149	0.830355	877.097	5.887	0.799911
step-33400	149	0.828539	875.704	5.877	0.799911
step-33450	149	0.829217	875.239	5.874	0.799911
step-33500	149	0.830026	878.322	5.895	0.799911
step-33550	149	0.829168	880.782	5.911	0.799911
step-33600	149	0.829105	874.740	5.871	0.799911
step-33650	149	0.829260	800.284	5.371	0.799911
step-33700	149	0.829200	791.087	5.309	0.799911
step-33750	149	0.829311	792.501	5.319	0.799911
step-33800	149	0.829493	790.381	5.305	0.799911
step-33850	149	0.829486	795.653	5.340	0.799911
step-33900	149	0.829362	793.911	5.328	0.799911
step-33950	149	0.830411	793.989	5.329	0.799911
step-34000	149	0.830121	792.475	5.319	0.799911
step-34050	149	0.829483	789.359	5.298	0.799911
step-34100	149	0.829118	791.472	5.312	0.799911
step-34150	149	0.830192	793.745	5.327	0.799911
step-34200	149	0.829488	795.208	5.337	0.799911
step-34250	149	0.829842	796.566	5.346	0.799911
step-34300	149	0.830134	795.653	5.340	0.799911
step-34350	149	0.830544	794.292	5.331	0.799911
step-34400	149	0.829626	793.871	5.328	0.799911
step-34450	149	0.830814	793.445	5.325	0.799911
step-34500	149	0.830149	796.333	5.345	0.799911
step-34550	149	0.830029	793.723	5.327	0.799911
step-34600	149	0.829712	791.339	5.311	0.799911
step-34650	149	0.829195	790.495	5.305	0.799911
step-34700	149	0.830834	794.679	5.333	0.799911
step-34750	149	0.831055	791.736	5.314	0.799911
step-34800	149	0.830451	793.885	5.328	0.799911
step-34850	149	0.830664	791.392	5.311	0.799911
step-34900	149	0.830650	794.344	5.331	0.799911
step-34950	149	0.830868	790.855	5.308	0.799911
step-35000	149	0.830080	796.759	5.347	0.799911
step-35050	149	0.830336	797.018	5.349	0.799911
step-35100	149	0.830647	795.256	5.337	0.799911
step-35150	149	0.830548	792.114	5.316	0.799911
step-35200	149	0.830523	792.905	5.322	0.799911
step-35250	149	0.830161	798.015	5.356	0.799911
step-35300	149	0.830257	796.137	5.343	0.799911
step-35350	149	0.829424	792.332	5.318	0.799911
step-35400	149	0.830129	798.656	5.360	0.799911
step-35450	149	0.830319	794.010	5.329	0.799911
step-35500	149	0.830079	797.956	5.355	0.799911
step-35550	149	0.830049	794.832	5.334	0.799911
step-35600	149	0.829469	795.038	5.336	0.799911
step-35650	149	0.829760	791.441	5.312	0.799911
step-35700	149	0.829941	795.607	5.340	0.799911
step-35750	149	0.829798	796.985	5.349	0.799911
step-35800	149	0.829926	796.851	5.348	0.799911
step-35850	149	0.830073	796.805	5.348	0.799911
step-35900	149	0.830137	793.951	5.329	0.799911
step-35950	149	0.830183	799.339	5.365	0.799911
step-36000	149	0.830303	794.834	5.334	0.799911
step-36050	149	0.830178	796.867	5.348	0.799911
step-36100	149	0.829526	798.150	5.357	0.799911
step-36150	149	0.829201	794.228	5.330	0.799911
step-36200	149	0.829560	806.004	5.409	0.799911
step-36250	149	0.830072	794.171	5.330	0.799911
step-36300	149	0.829957	798.908	5.362	0.799911
step-36350	149	0.830200	794.144	5.330	0.799911
step-36400	149	0.829575	796.922	5.348	0.799911
step-36450	149	0.830023	796.145	5.343	0.799911
step-36500	149	0.829522	793.309	5.324	0.799911
step-36550	149	0.830202	793.838	5.328	0.799911
step-36600	149	0.829994	795.648	5.340	0.799911
step-36650	149	0.829879	793.010	5.322	0.799911
step-36700	149	0.830074	799.081	5.363	0.799911
step-36750	149	0.829965	795.182	5.337	0.799911
step-36800	149	0.830105	816.665	5.481	0.799911
step-36850	149	0.829982	795.535	5.339	0.799911
step-36900	149	0.830271	799.159	5.363	0.799911
